,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
15038,15038,22086146,"CENTRALLY LOCATED, BEAUTIFUL SPACE FOR TWO!",161337981,Steven,Unincorporated Areas,View Park-Windsor Hills,34.00054,-118.34297,Private room,74.0,2,143,2020-04-27,5.11,2,117.0,2015-05-24 00:00:00
31587,31587,40115627,Long Beach/Lakewood Hide-Away!,210192378,Brenda,Other Cities,Lakewood,33.85074,-118.14634,Private room,65.0,7,4,2020-03-10,0.73,1,172.0,2015-05-24 00:00:00
18582,18582,26366257,Sky Bubble Suite- SUSPENDING OPERATIONS,49505795,Doug,City of Los Angeles,Hollywood Hills West,34.12504,-118.36487,Entire home/apt,245.0,1,120,2020-03-16,5.72,1,1.0,2015-05-24 00:00:00
22356,22356,30938319,Private and Bright 3 Bedroom Venice Home!,231008197,Jade,City of Los Angeles,Venice,33.99675,-118.46528,Entire home/apt,225.0,30,28,2019-11-03,1.73,5,180.0,2015-05-24 00:00:00
24542,24542,33431456,Luxurious Hollywood home with amazing views,43894448,Steven,City of Los Angeles,Hollywood Hills West,34.09922,-118.37476,Entire home/apt,775.0,2,27,2020-03-21,2.1,1,0.0,2015-05-24 00:00:00
36431,36431,43109326,Spacious PRIVATE room w Parking (30),220552642,Mary & Sally,Other Cities,Inglewood,33.96998,-118.34797,Private room,36.0,7,0,,,22,358.0,2015-05-24 00:00:00
1529,1529,1894716,Eclectic 40' boat with free parking,8291799,Great Boat!,Unincorporated Areas,Marina del Rey,33.9835,-118.45801,Entire home/apt,150.0,30,8,2015-04-13,0.12,1,69.0,2015-05-24 00:00:00
11864,11864,18855568,Modern Village Charm,40737030,Management,Other Cities,Claremont,34.09849,-117.71879,Entire home/apt,88.0,1,176,2020-03-18,4.98,7,81.0,2015-05-24 00:00:00
1264,1264,1515883,Centrally-Located Long Beach Guesthouse,8094048,Mikki,Other Cities,Signal Hill,33.81788,-118.17639,Entire home/apt,105.0,1,516,2020-04-19,6.54,1,354.0,2015-05-24 00:00:00
9661,9661,15772276,A,26902736,Fifi,City of Los Angeles,Winnetka,34.20539,-118.5792,Private room,50.0,31,3,2020-02-16,0.12,4,365.0,2015-05-24 00:00:00
34849,34849,42315847,梦幻美国之旅,334864859,心里的四季,Other Cities,Rosemead,34.0661,-118.0749,Private room,98.0,2,0,,,2,365.0,2015-05-24 00:00:00
20915,20915,29323498,Lovely Guest House 3 Blocks To The Beach,24924296,Ellie & Scott,Other Cities,Long Beach,33.76808,-118.15838,Entire home/apt,89.0,2,101,2020-03-23,5.56,1,130.0,2015-05-24 00:00:00
29742,29742,36143541,大西洋时代广场隔壁的雅房 #1,267600828,Dongjun,Other Cities,Monterey Park,34.06404,-118.13007,Private room,35.0,1,32,2020-01-26,4.32,4,87.0,2015-05-24 00:00:00
23097,23097,29686104,Greenleaf Hotel (Regular Room),168467528,Hotel,Other Cities,Long Beach,33.76681,-118.18514,Hotel room,80.0,1,16,2019-07-28,1.03,32,3.0,2015-05-24 00:00:00
16467,16467,22346635,"Check in anytime, private bedroom",84817599,Charles,Unincorporated Areas,Willowbrook,33.92131,-118.25262,Private room,45.0,1,3,2018-05-19,0.14,2,0.0,2015-05-24 00:00:00
19320,19320,25320224,TOP EXECTIVE MASTER BEDROOM IN WEST HOLLYWOOD,41229531,Roger,Other Cities,West Hollywood,34.09427,-118.37487,Private room,70.0,30,3,2019-12-12,0.17,2,155.0,2015-05-24 00:00:00
17351,17351,23216700,TRENDY BRAND NEW LOS ANGELES HOME,172672519,Al,City of Los Angeles,Jefferson Park,34.02234,-118.33282,Entire home/apt,150.0,30,84,2019-10-04,3.44,1,95.0,2015-05-24 00:00:00
17452,17452,23309974,Epic view OF Los Angeles harbor,6564195,Raymond,City of Los Angeles,San Pedro,33.72152,-118.29315,Private room,150.0,10,1,2018-02-24,0.04,1,0.0,2015-05-24 00:00:00
15826,15826,21812704,Cozy & Spacious Queen room  near Universal Studios,129864227,Alex,City of Los Angeles,Studio City,34.14619,-118.37869,Private room,45.0,1,172,2020-01-22,6.31,12,348.0,2015-05-24 00:00:00
30188,30188,36572415,罗兰岗舒适套房One suite in Rowland Heights,274524036,Aaron,Unincorporated Areas,Rowland Heights,33.99264,-117.88569,Private room,37.0,3,0,,,3,89.0,2015-05-24 00:00:00
3137,3137,4482047,Charming Garden Cottage in Hancock Park,5461678,Catherine,City of Los Angeles,Hancock Park,34.07851,-118.33062,Entire home/apt,125.0,2,28,2020-02-07,2.66,1,217.0,2015-05-24 00:00:00
29883,29883,36302836,“Mo’Chalet” a English Garden at “THE LOFT”,175490784,Gary,City of Los Angeles,West Hills,34.20055,-118.65608,Private room,180.0,1,2,2020-01-18,1.28,3,88.0,2015-05-24 00:00:00
35898,35898,40570089,Beautiful Studio near many attractions,301336206,Hong,Other Cities,Temple City,34.11439,-118.06244,Entire home/apt,80.0,1,6,2019-12-28,2.57,10,74.0,2015-05-24 00:00:00
19816,19816,26004649,"Ideal For Beach, Fun, and Sun Vacation",134010948,Andy,Other Cities,Santa Monica,34.00794,-118.49046,Entire home/apt,135.0,31,2,2020-01-22,0.45,41,86.0,2015-05-24 00:00:00
12983,12983,19172149,Clean Cozy Room in Convenient Location 华人区超值便利房 2C,133724006,Jonathan,Other Cities,Monterey Park,34.06456,-118.10818,Private room,45.0,24,68,2019-09-19,2.1,4,3.0,2015-05-24 00:00:00
5441,5441,8344112,Upgraded 2 bed 2 bath condo,43360468,Gina,Other Cities,Alhambra,34.09253,-118.13368,Entire home/apt,110.0,2,0,,,1,0.0,2015-05-24 00:00:00
35733,35733,40487627,Downtown Duplex near Americana,97249279,Lynda,Other Cities,Glendale,34.15227,-118.26376,Entire home/apt,100.0,7,2,2020-01-29,2.0,1,340.0,2015-05-24 00:00:00
21146,21146,27609552,Beverly Hills Apartment,32644403,Homayoun,Other Cities,Beverly Hills,34.06411,-118.39176,Entire home/apt,200.0,3,5,2020-01-13,0.28,1,51.0,2015-05-24 00:00:00
33642,33642,39280863,亚凯迪亚Arcadia三房三卫-旅游待产,11004623,Geoffrey,Other Cities,Arcadia,34.13037,-118.05026,Entire home/apt,160.0,30,0,,,2,207.0,2015-05-24 00:00:00
30752,30752,37091184,The Theater Room near Hollywood/15 min from DTLA,4740696,"Ben, Benjamin And Mitch",City of Los Angeles,Eagle Rock,34.13117,-118.19703,Private room,64.0,1,20,2020-01-28,3.75,2,359.0,2015-05-24 00:00:00
2348,2348,3292367,"Studio in Hollywod, no parking, SHORT TERM OK",16586625,Steve,City of Los Angeles,Hollywood Hills,34.10507,-118.34102,Entire home/apt,60.0,31,139,2019-11-17,2.08,2,305.0,2015-05-24 00:00:00
4947,4947,7483092,Sunny Silver Lake Room,39189360,Marion,City of Los Angeles,Silver Lake,34.07662,-118.2749,Private room,40.0,3,0,,,1,0.0,2015-05-24 00:00:00
19036,19036,24948248,High-End Hollywood Apartment,134817195,Ashley,City of Los Angeles,Hollywood,34.10174,-118.32798,Entire home/apt,199.0,1,18,2020-01-23,0.85,15,43.0,2015-05-24 00:00:00
1594,1594,1875734,Beautiful Studio Apt. with parking,8917310,Eyal,City of Los Angeles,Hollywood,34.09761,-118.33561,Entire home/apt,59.0,31,51,2020-01-04,0.67,6,312.0,2015-05-24 00:00:00
28945,28945,35408906,Spacious 4BD Duplex. Perfect For Family & Groups,1380865,Chris Kazi,City of Los Angeles,Exposition Park,34.02245,-118.30739,Entire home/apt,300.0,30,24,2019-12-02,2.96,1,98.0,2015-05-24 00:00:00
38158,38158,41841162,"Hail hail the gangs all here, WTHDWCN?",267008154,Jeanette,Other Cities,Santa Clarita,34.42155,-118.46002,Private room,43.0,2,0,,,6,84.0,2015-05-24 00:00:00
13451,13451,19658618,"Private room, self check in, CalStateLA",138393433,Ramon,City of Los Angeles,El Sereno,34.06279,-118.17687,Private room,49.0,1,118,2020-01-20,3.75,2,132.0,2015-05-24 00:00:00
12130,12130,18155301,Miracle Mile Bedroom w/ Private Bathroom,1176279,Valerie & J.P.,City of Los Angeles,Mid-Wilshire,34.05969,-118.35875,Private room,80.0,2,31,2018-02-25,0.94,2,0.0,2015-05-24 00:00:00
23121,23121,29713910,Master BdRm - Home  sweet Home,15836380,Nina,Other Cities,Lancaster,34.687,-118.15299,Private room,45.0,1,66,2020-01-26,6.27,8,336.0,2015-05-24 00:00:00
19749,19749,25946530,⭐️ Lovely Private Bedroom in Echo Park!,40716064,Roy,City of Los Angeles,Westlake,34.06417,-118.26335,Private room,80.0,2,63,2019-11-17,3.1,4,4.0,2015-05-24 00:00:00
4368,4368,6576882,Fall sublet Sept-Jan 2016,34402147,Rachel Lea,City of Los Angeles,Westwood,34.06619,-118.45053,Shared room,850.0,100,0,,,1,363.0,2015-05-24 00:00:00
19281,19281,25259975,Luxurious High Rise Apartment/Great Location DTLA,72604524,Sung,City of Los Angeles,Koreatown,34.0619,-118.29058,Entire home/apt,169.0,1,46,2020-01-12,2.2,6,171.0,2015-05-24 00:00:00
22120,22120,28691946,Private Bedroom w bathroom,29591316,Christian,City of Los Angeles,Westwood,34.05423,-118.44179,Private room,85.0,30,4,2019-12-21,0.24,7,251.0,2015-05-24 00:00:00
8232,8232,13171201,Venice Jungle Bungalow available for June,61898371,Matt,City of Los Angeles,Venice,33.98825,-118.46136,Entire home/apt,360.0,3,1,2016-05-24,0.02,1,0.0,2015-05-24 00:00:00
14586,14586,20764848,"Studio, steps away from 2nd St. *BELMONT SHORE*",23273340,John,Other Cities,Long Beach,33.75983,-118.13471,Entire home/apt,91.0,1,178,2020-02-11,6.2,2,168.0,2015-05-24 00:00:00
5408,5408,8292622,XL Luxury Guest Unit - Walk to Everywhere Location,31554265,Scott A.,Other Cities,Santa Monica,34.0209,-118.49193,Entire home/apt,349.0,5,35,2020-01-20,0.78,2,250.0,2015-05-24 00:00:00
34434,34434,39773659,Bright peaceful Cozy top corner 1 bedroom Loft,41902038,Fatemah,City of Los Angeles,Mid-Wilshire,34.06266,-118.34966,Entire home/apt,200.0,30,1,2019-12-23,0.57,1,169.0,2015-05-24 00:00:00
9135,9135,14151564,SPACIOUS ROOM CLOSE IN THE BEST LOCATION,21140715,Kris-Tof,City of Los Angeles,Sawtelle,34.04811,-118.45467,Private room,70.0,30,1,2016-07-25,0.02,1,0.0,2015-05-24 00:00:00
1801,1801,2224437,Perfect 1Bed in Venice Beach w/Private yard!,11351063,Aaron,City of Los Angeles,Venice,33.99249,-118.46237,Entire home/apt,175.0,31,14,2019-10-14,0.36,16,365.0,2015-05-24 00:00:00
13342,13342,19550325,Spacious 1bedroom/1 bathroom apt (Hollywood),137342462,Sukayna,City of Los Angeles,Mid-Wilshire,34.06597,-118.34427,Entire home/apt,90.0,1,12,2020-02-11,0.38,7,361.0,2015-05-24 00:00:00
17901,17901,23750346,ChezAyna Cottage,122761619,Theresa,Other Cities,Long Beach,33.79464,-118.19943,Entire home/apt,75.0,3,14,2019-04-09,0.6,1,252.0,2015-05-24 00:00:00
37969,37969,41748445,Modern & Luxurious Home in Downtown LA,329770608,Lamont,City of Los Angeles,Downtown,34.0458,-118.25184,Entire home/apt,186.0,1,1,2020-02-05,1.0,1,138.0,2015-05-24 00:00:00
32707,32707,38666563,Lux LBC-Downtown! Cozy! Walk to major attractions!,3526596,Viva La Casa,Other Cities,Long Beach,33.76475,-118.19515,Entire home/apt,105.0,1,34,2020-02-02,6.85,3,147.0,2015-05-24 00:00:00
27619,27619,34187979,Contemporary Condo near JPL/Rose Bowl/DTLA,126516079,Robert,Unincorporated Areas,La Crescenta-Montrose,34.22637,-118.24403,Entire home/apt,216.0,25,7,2020-01-15,0.89,1,164.0,2015-05-24 00:00:00
32713,32713,38669959,Hostel,295028296,Julia,City of Los Angeles,Exposition Park,34.01143,-118.31387,Shared room,35.0,31,0,,,1,364.0,2015-05-24 00:00:00
26223,26223,32921561,Yan's Cute Comfy Room in CA! (1 Bed),196625063,Yan,Unincorporated Areas,Rowland Heights,33.95899,-117.91304,Private room,45.0,3,8,2020-02-11,0.86,6,79.0,2015-05-24 00:00:00
37217,37217,41325467,Gourges Spanish Style Huge House Close ALl Cities!,324386605,Arshak M,Other Cities,Glendale,34.17615,-118.28273,Entire home/apt,299.0,2,0,,,5,362.0,2015-05-24 00:00:00
24905,24905,31553529,Lovely 2 Bedroom on Quiet Street,48005494,Zeus,City of Los Angeles,Del Rey,33.9887,-118.42013,Entire home/apt,200.0,30,1,2019-09-24,0.21,215,331.0,2015-05-24 00:00:00
729,729,783158,Hollywood Home near Griffith Park & Universal!!,2764207,Sydney,City of Los Angeles,Hollywood,34.1044,-118.31421,Entire home/apt,250.0,4,103,2020-01-22,1.26,1,329.0,2015-05-24 00:00:00
27311,27311,33916514,Amazing luxury apartment downtown Los Angeles,121452170,Luxxx Home,City of Los Angeles,Downtown,34.04404,-118.25793,Entire home/apt,240.0,31,5,2019-07-24,0.55,6,250.0,2015-05-24 00:00:00
18933,18933,24835970,3 bd Charming pool house. private parking. gated !,187759744,My,City of Los Angeles,Canoga Park,34.20782,-118.60769,Entire home/apt,164.0,2,11,2019-10-31,0.56,3,345.0,2015-05-24 00:00:00
17629,17629,23506161,"Writers Ranch Retreat 
*Private Getaway w/Horses*",53603280,Valerie,City of Los Angeles,Chatsworth,34.24901,-118.61764,Private room,57.0,2,92,2019-11-25,3.87,1,43.0,2015-05-24 00:00:00
3926,3926,5883831,COZY SUNNY ROOM WITH A QUEEN-SIZE BED,647546,Marco,City of Los Angeles,Valley Glen,34.18155,-118.39896,Private room,55.0,30,10,2019-06-28,0.17,4,30.0,2015-05-24 00:00:00
21357,21357,27837348,"Recently Remodeled 2 Bed, 2 Bath Condo With Wrap Around Balcony, WiFi, Golf Cart - Hamilton Cove Villa 17-88",129783732,Oranj Palm Vacation Homes,Unincorporated Areas,Unincorporated Catalina Island,33.35592,-118.33103,Entire home/apt,435.0,3,0,,,74,254.0,2015-05-24 00:00:00
25688,25688,32450920,Torrance Charm,243789344,Priscilla,Other Cities,Torrance,33.83973,-118.32322,Entire home/apt,149.0,3,37,2020-02-02,3.26,1,67.0,2015-05-24 00:00:00
34048,34048,39533257,"Hip Hollywood 2BR w/ Gym, Pool, Spa, walk to Sunset Blvd by Blueground",107434423,Blueground,City of Los Angeles,Hollywood,34.10274,-118.33797,Entire home/apt,157.0,30,0,,,200,327.0,2015-05-24 00:00:00
5047,5047,7665413,Private bedroom and bathroom 607,37371505,Joy,Unincorporated Areas,Rowland Heights,33.9889,-117.91825,Private room,47.0,1,2,2015-08-14,0.04,1,0.0,2015-05-24 00:00:00
33747,33747,39351269,Twin LT bottom bunk SHARED at anaheim & Alamitos,84963262,Brandon,Other Cities,Long Beach,33.78282,-118.17492,Shared room,20.0,1,8,2020-02-07,2.53,17,334.0,2015-05-24 00:00:00
19451,19451,25493153,"Room close to Hermosa, Manhattan & Redondo Beaches",19863759,Samra,Other Cities,Redondo Beach,33.8781,-118.36229,Private room,220.0,1,8,2019-08-04,0.39,4,348.0,2015-05-24 00:00:00
31051,31051,37326574,Vacation Home,281002333,Andrew,Other Cities,Alhambra,34.08579,-118.13691,Entire home/apt,121.0,1,20,2020-02-09,5.17,4,32.0,2015-05-24 00:00:00
36767,36767,41051444,静馨,314365917,David,Other Cities,Rosemead,34.05876,-118.07859,Private room,45.0,2,1,2020-01-01,0.68,2,361.0,2015-05-24 00:00:00
37871,37871,41714992,K-Town Apartment,207011973,Touffik,City of Los Angeles,Koreatown,34.06561,-118.30345,Entire home/apt,95.0,1,3,2020-02-12,3.0,1,13.0,2015-05-24 00:00:00
12824,12824,18977939,Explore central LA from large sunny hillside Home,2220416,Emre & Svenja,City of Los Angeles,Mount Washington,34.10362,-118.23219,Entire home/apt,239.0,2,22,2019-09-23,0.7,1,0.0,2015-05-24 00:00:00
3599,3599,5297087,Best Beach Location 2 Rooms Sleeps4,27435329,Brian,Other Cities,Manhattan Beach,33.87758,-118.40774,Entire home/apt,159.0,30,63,2018-10-09,1.04,1,180.0,2015-05-24 00:00:00
17328,17328,23187147,234248 Luxurious DTLA Suite,161456581,David,City of Los Angeles,Westlake,34.05384,-118.2628,Entire home/apt,108.0,30,4,2019-12-14,0.21,27,71.0,2015-05-24 00:00:00
34705,34705,39923568,Cozy & Lovely Guest House in West Covina,301079730,Cynthia,Other Cities,West Covina,34.05195,-117.91588,Entire home/apt,75.0,1,8,2020-01-20,2.53,4,146.0,2015-05-24 00:00:00
2289,2289,3193577,SANTA MONICA BEACH FRONT PROPERTY,16151602,Santa Monica Beach,Other Cities,Santa Monica,34.01469,-118.49849,Entire home/apt,130.0,31,54,2019-11-15,0.79,10,90.0,2015-05-24 00:00:00
31943,31943,38045889,"Chic Private Suite - 1 mi from LAX, Forum & Arena",238553414,Jessica,Other Cities,Inglewood,33.95875,-118.36662,Private room,65.0,1,31,2020-02-06,5.74,1,330.0,2015-05-24 00:00:00
35795,35795,40517900,Your corner of the world.,267008154,Jeanette,Other Cities,Santa Clarita,34.42228,-118.45865,Shared room,29.0,2,3,2020-02-07,2.09,6,89.0,2015-05-24 00:00:00
38121,38121,41815101,Cozy LAX Apartment,267613080,Micheal,City of Los Angeles,Westchester,33.95383,-118.38408,Private room,100.0,1,0,,,2,176.0,2015-05-24 00:00:00
10199,10199,15590327,"Clean, quiet Rowland Heights house with Queen bed",21941024,Brian,Unincorporated Areas,Rowland Heights,33.97332,-117.89715,Private room,28.0,15,30,2020-01-24,0.75,3,43.0,2015-05-24 00:00:00
29773,29773,36175152,Prime location Beverly Hills Modern Guest House.,43196899,Edna,Other Cities,Beverly Hills,34.06767,-118.38012,Entire home/apt,225.0,3,0,,,3,362.0,2015-05-24 00:00:00
2748,2748,3946194,"Quiet Oasis BY BEACH...KITCHEN, LAUNDRY, PARKING!",14293161,Mona,City of Los Angeles,Venice,33.98959,-118.47449,Entire home/apt,142.0,30,103,2019-10-13,1.59,3,306.0,2015-05-24 00:00:00
10512,10512,16000292,Little house in Rose Park Free parking and laundry,11418517,John,Other Cities,Long Beach,33.78006,-118.15554,Entire home/apt,79.0,28,6,2019-11-01,0.17,13,340.0,2015-05-24 00:00:00
10956,10956,16498537,Beautiful Retreat Setting with Yoga available,108373084,Teri,Other Cities,Whittier,33.9813,-118.02702,Entire home/apt,250.0,4,9,2019-08-03,0.26,1,346.0,2015-05-24 00:00:00
28473,28473,34950422,Luxury Hollywood getaway,241140935,Ram,City of Los Angeles,Hollywood,34.10069,-118.31155,Entire home/apt,135.0,5,2,2019-08-07,0.29,5,125.0,2015-05-24 00:00:00
30686,30686,37022618,"Fantastic Location, Clean, Prvt Bath & Entrance",69121229,Laura,City of Los Angeles,Westlake,34.07019,-118.27105,Entire home/apt,64.0,1,43,2020-01-27,6.39,3,279.0,2015-05-24 00:00:00
23437,23437,30015762,"Mid Century Luxe Home Large Pool, Canyon Views",4656446,A.C.,City of Los Angeles,Hollywood Hills West,34.12507,-118.37348,Entire home/apt,645.0,300,25,2019-10-21,1.88,54,0.0,2015-05-24 00:00:00
16536,16536,22410084,Beach city escape...,149269275,John,Other Cities,Santa Monica,34.02864,-118.49269,Entire home/apt,121.0,1,120,2020-02-01,4.63,1,69.0,2015-05-24 00:00:00
24775,24775,31392522,Private Condo-2 blocks away from Glendale Galleria,89426591,Jaesung,Other Cities,Glendale,34.14209,-118.26311,Entire home/apt,120.0,1,6,2020-02-03,2.69,1,54.0,2015-05-24 00:00:00
16192,16192,22086495,Rose on Rosewood,32150277,Sheryl,City of Los Angeles,Mar Vista,34.00445,-118.44754,Entire home/apt,150.0,2,87,2020-01-28,3.37,1,278.0,2015-05-24 00:00:00
27722,27722,34279829,Stylish 2BR with Private Balcony in Glendale,48005494,Zeus,Other Cities,Glendale,34.15179,-118.25792,Entire home/apt,188.0,30,1,2019-07-07,0.14,215,290.0,2015-05-24 00:00:00
11919,11919,17896365,Fancy new bedroomJPL/Caltech/HRC/HuntingtonLibrary,121561227,Carina,Other Cities,Pasadena,34.14175,-118.11242,Private room,70.0,2,29,2020-01-01,0.83,9,318.0,2015-05-24 00:00:00
11103,11103,16724403,Lovely apt. with natural light and lots of space.,110867821,Greg,Unincorporated Areas,Altadena,34.18428,-118.11208,Entire home/apt,150.0,2,9,2019-07-13,0.25,1,173.0,2015-05-24 00:00:00
17423,17423,23286848,"Sweet studio in
heart of UCLA,Brentwood,Westwood",27345195,Arman,City of Los Angeles,Westwood,34.07131,-118.46407,Entire home/apt,63.0,2,31,2020-02-08,1.3,2,60.0,2015-05-24 00:00:00
1007,1007,1084050,"Charming 2 Bed inSanta Monica, CA !",5960563,Danielle,Other Cities,Santa Monica,34.02251,-118.47206,Entire home/apt,150.0,31,9,2019-11-30,0.15,2,287.0,2015-05-24 00:00:00
24289,24289,30910420,Cottage on the Strand,183964004,Jennifer,Other Cities,Hermosa Beach,33.8534,-118.39749,Entire home/apt,880.0,4,3,2019-06-27,0.36,1,256.0,2015-05-24 00:00:00
30125,30125,36526062,Alamitos Beach Private Residence,274611850,Daron,Other Cities,Long Beach,33.77247,-118.17999,Private room,85.0,1,1,2019-07-21,0.14,2,89.0,2015-05-24 00:00:00
20822,20822,27285044,BEAUTIFUL SPACIOUS WESTWOOD CONDO w POOL & PARKING,53631885,Andrea,City of Los Angeles,Westwood,34.06413,-118.44994,Entire home/apt,115.0,30,2,2019-01-12,0.12,3,243.0,2015-05-24 00:00:00
4428,4428,6627608,Brand New Penthouse/Condominium,32810038,Ceylan,City of Los Angeles,Beverly Grove,34.07242,-118.37851,Entire home/apt,367.0,30,0,,,9,365.0,2015-05-24 00:00:00
26912,26912,33580202,三房整套酒店式公寓,36967758,Anna,Other Cities,Monterey Park,34.06903,-118.13495,Entire home/apt,200.0,1,16,2020-01-26,1.57,5,363.0,2015-05-24 00:00:00
13236,13236,19453936,2BD1BA - Beverly Hills Spanish Bed and Breakfast,970048,Nataya,City of Los Angeles,Beverly Crest,34.09528,-118.40288,Entire home/apt,132.0,1,102,2020-01-28,3.34,12,265.0,2015-05-24 00:00:00
25328,25328,32050000,EXQUISITE & NEW BEVERLY HILLS VILLA NEAR RODEO DR,4510013,Love,Other Cities,Beverly Hills,34.07354,-118.39091,Entire home/apt,135.0,30,37,2019-12-10,2.99,38,339.0,2015-05-24 00:00:00
27074,27074,33713576,1 bd 1ba Executive apartment sleeps 4 w/parking,20241872,Executive Rental,City of Los Angeles,Mid-Wilshire,34.04991,-118.35603,Entire home/apt,159.0,3,16,2020-01-29,1.55,13,309.0,2015-05-24 00:00:00
17915,17915,23763433,Versatile Room For Changing,690099,Chris,City of Los Angeles,Hollywood,34.09789,-118.33055,Private room,100.0,31,2,2018-07-27,0.09,16,349.0,2015-05-24 00:00:00
35058,35058,40137041,Cozy Apartment at Downtown. Fashion District.,89613524,Sergei,City of Los Angeles,Downtown,34.03208,-118.26352,Entire home/apt,89.0,31,0,,,51,187.0,2015-05-24 00:00:00
15456,15456,21515240,F♡Outrageous discounts. Up to 75% off: No kidding!,12630342,Sandee,City of Los Angeles,Rancho Park,34.03658,-118.42567,Shared room,20.0,30,5,2019-05-06,0.28,48,134.0,2015-05-24 00:00:00
17940,17940,23791931,FULL SERVICE BUILDING 2 BR IN DOWNTOWN LA,42550497,Christopher,City of Los Angeles,Westlake,34.05131,-118.2633,Entire home/apt,200.0,3,24,2020-01-01,1.09,1,58.0,2015-05-24 00:00:00
28176,28176,34690783,West LA Beachy Bungalow Backhouse,261685335,Angie,City of Los Angeles,Westchester,33.96477,-118.41676,Entire home/apt,149.0,2,10,2020-01-31,1.2,1,66.0,2015-05-24 00:00:00
19617,19617,25804055,Home Sharing at Sunset Strip and West Hollywood,5257917,James,Other Cities,West Hollywood,34.08885,-118.38118,Entire home/apt,240.0,3,7,2020-02-10,0.37,2,177.0,2015-05-24 00:00:00
10517,10517,16002164,Spacious 1 bedroom apartment close to Venice beach,78043923,Amir,City of Los Angeles,Del Rey,33.99627,-118.43027,Entire home/apt,89.0,3,27,2020-01-08,0.74,2,58.0,2015-05-24 00:00:00
6843,6843,10804476,garden clean studio room twin bed,46136236,Genghis,Other Cities,Monterey Park,34.06181,-118.12994,Shared room,30.0,1,43,2020-01-18,0.88,8,365.0,2015-05-24 00:00:00
284,284,262395,Modern Bohemian-Style Home in Venice Beach,1376554,Ilan And Yana,City of Los Angeles,Venice,33.9967,-118.46967,Entire home/apt,330.0,30,168,2019-11-02,1.74,1,85.0,2015-05-24 00:00:00
40438,40438,40014936,Beautiful and cozy apartment in Toluca Lake,14109331,Paula,City of Los Angeles,Toluca Lake,34.15769,-118.3548,Entire home/apt,60.0,30,0,,,1,31.0,2015-05-24 00:00:00
34819,34819,36773064,Nice and cozy! Private room and restroom for guest,54567659,Toni,Other Cities,Gardena,33.86937,-118.30099,Private room,225.0,3,0,,,1,89.0,2015-05-24 00:00:00
14818,14818,19490352,Melrose Penthouse Loft,73200886,Laura,City of Los Angeles,Beverly Grove,34.08335,-118.37495,Entire home/apt,400.0,7,16,2019-10-14,0.61,5,62.0,2015-05-24 00:00:00
22587,22587,26295308,Sherry's Sweet Home Room 2,197707869,Ting,Unincorporated Areas,Rowland Heights,33.96938,-117.8933,Private room,50.0,3,88,2019-09-19,5.18,2,321.0,2015-05-24 00:00:00
39286,39286,39510881,Luxury Stay!  Minutes from Studio City/Universal !,25765737,Anastasia,City of Los Angeles,North Hollywood,34.16239,-118.3756,Entire home/apt,140.0,1,1,2019-11-05,1.0,3,69.0,2015-05-24 00:00:00
15924,15924,20470254,A Step Above,308961820,Lisa-Maree,Other Cities,Malibu,34.03759,-118.86915,Entire home/apt,4375.0,4,0,,,2,364.0,2015-05-24 00:00:00
16427,16427,20862056,Californian comfort  2Bedroom  Palms T38,44616971,Denise,City of Los Angeles,Palms,34.02706,-118.40399,Entire home/apt,109.0,31,4,2019-07-26,0.16,17,352.0,2015-05-24 00:00:00
22653,22653,26365332,California Cool: ❤️ of Los Angeles,198269391,Rusty,Other Cities,West Hollywood,34.082,-118.37897,Entire home/apt,165.0,2,43,2019-11-12,2.64,2,15.0,2015-05-24 00:00:00
40261,40261,39941308,Queen Memory Foam Bed in Private Room w/ TV & Desk,266379705,Marie,City of Los Angeles,East Hollywood,34.08616,-118.29972,Private room,85.0,30,0,,,21,358.0,2015-05-24 00:00:00
7662,7662,10996064,Family Spanish duplex bottom centrally located,57056684,Sarah,City of Los Angeles,Carthay,34.05716,-118.37494,Entire home/apt,320.0,30,10,2019-07-30,0.24,1,0.0,2015-05-24 00:00:00
19702,19702,23473343,Comfortable sleeping,146826455,Raj,Other Cities,Long Beach,33.87254,-118.1874,Shared room,38.0,1,0,,,1,0.0,2015-05-24 00:00:00
10416,10416,14559400,"Cozy Studio Apt w/ Parking, Downtown Adjacent",90166003,Marc,City of Los Angeles,Westlake,34.06369,-118.26326,Entire home/apt,89.0,30,262,2019-11-14,6.62,1,351.0,2015-05-24 00:00:00
28091,28091,31361536,Voyage (The Nursery) at Aspen Dreams,51005272,Aspen Dreams,Other Cities,San Dimas,34.10585,-117.83068,Private room,45.0,1,8,2019-07-29,0.85,3,80.0,2015-05-24 00:00:00
13150,13150,17753069,Lovely apartment near LAX and Beaches,121140546,Michael,Other Cities,Lawndale,33.89583,-118.36162,Entire home/apt,135.0,2,112,2019-11-03,3.47,1,297.0,2015-05-24 00:00:00
8897,8897,12966467,Paradise in the Palisades,71315273,Therese,City of Los Angeles,Pacific Palisades,34.04068,-118.53415,Entire home/apt,1300.0,5,0,,,1,83.0,2015-05-24 00:00:00
